ppl,thumbnail,deepfake_score
Donald Trump,https://i.ytimg.com/vi/RLe-m6gNxJI/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGEIgVyhyMA8=&rs=AOn4CLCQIQ3j46SULJIox2CkHO_obHfxOA,
Donald Trump,https://i.ytimg.com/vi/bzPMMCO_vgM/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGGUgTShHMA8=&rs=AOn4CLDIAMs59AUpxc-R2SOodx-g5uviYA,
Donald Trump,https://i.ytimg.com/vi/Waf55MjaToM/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGEUgSyhyMA8=&rs=AOn4CLCAC993DODz6UxUiGdbnxbdZCefmQ,
Donald Trump,https://i.ytimg.com/vi/UbCOnL9sVBs/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGHIgSSg_MA8=&rs=AOn4CLBkB4pxv6TkW2pypONoaY5QB1mZ9g,
Donald Trump,https://i.ytimg.com/vi/wxu3f5PHfM8/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGDEgNSh_MA8=&rs=AOn4CLBRQszJKz-c4WZGBIgUVybny2v2aw,
Donald Trump,https://i.ytimg.com/vi/XTVWleODfTw/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAFfFbcJS6G3_xKn-rTASdDk7poZg,
Donald Trump,https://i.ytimg.com/vi/S6M4b9KrP6Y/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGC8gNyh_MA8=&rs=AOn4CLAO3MUr2d9VczMNGPge63ZI19CbKw,
Donald Trump,https://i.ytimg.com/vi/DEaNmXgDs9c/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGCwgQCh_MA8=&rs=AOn4CLCco5oNRtI8re3S5IBp4VVeInMfNQ,
Donald Trump,https://i.ytimg.com/vi/C7eSJ011Muc/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGGUgWihHMA8=&rs=AOn4CLACxivrQDDSdHEraLXgF_YiDvMc0A,
Donald Trump,https://i.ytimg.com/vi/PTgAPRsPetQ/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AHOBYACgAqKAgwIABABGEYgSShlMA8=&rs=AOn4CLD-YvElfdM9csmJkQUFj5IlhO_ivw,
Donald Trump,https://i.ytimg.com/vi/gcBpk2de818/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGEYgSihlMA8=&rs=AOn4CLDr2q2r5PVXkSSGtVnyCGFEUmz6wA,
Donald Trump,https://i.ytimg.com/vi/mAZtJahK9W8/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGGUgVyhXMA8=&rs=AOn4CLCg0GMKnWOlz_0Iaba8nF05CL9qcw,
Donald Trump,https://i.ytimg.com/vi/tg8PQzgV4ls/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGH8gEygTMA8=&rs=AOn4CLBo99CI8Thl-Tud8VW42I_jWyUURQ,
Donald Trump,https://i.ytimg.com/vi/PSV8MuXnavM/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGHIgRCg6MA8=&rs=AOn4CLD9Pxq-AH_yCq0aIGY3xL_GEyHqUg,
Donald Trump,https://i.ytimg.com/vi/QO9I0oZRUuM/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGCYgQyh_MA8=&rs=AOn4CLATpgLa93uGw7Y5nWrj0FSVcnfjsg,
Donald Trump,https://i.ytimg.com/vi/tt9Eqc6DEgk/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGHIgUSgwMA8=&rs=AOn4CLCUVkpDUPp_wDqnXVRolvQSaqHzcw,
Donald Trump,https://i.ytimg.com/vi/B6EHll8F31w/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGHIgTyhFMA8=&rs=AOn4CLBKaZoSsIL_sHY-jbCAE6d4KynCqA,
Donald Trump,https://i.ytimg.com/vi/ZNR7l5FVOJA/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGDggUCh_MA8=&rs=AOn4CLBgcM0C6ivhIY1g6f3-276LzFFktA,
Donald Trump,https://i.ytimg.com/vi/dABssoYmGUI/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGGUgZShlMA8=&rs=AOn4CLC4fp1FAwlVDF4wT-AmadseD6rZ2Q,
Donald Trump,https://i.ytimg.com/vi/yYjSh5I7INE/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGGUgUihKMA8=&rs=AOn4CLCLqOal8aS2YDTB1FBzC4ov6khb-Q,
Donald Trump,https://i.ytimg.com/vi/OadqOOGiTvk/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDiSnKEAPUavZXwuj2LDEdLB1098A,
Donald Trump,https://i.ytimg.com/vi/KdxQd_I0wMM/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDYhH4Twfcc9ecTgKre1ZYrt-ZSPg,
Donald Trump,https://i.ytimg.com/vi/gfiSNWRUdzw/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCQSLFRCQjhLpGKwEndY9HEdYYjDw,
Donald Trump,https://i.ytimg.com/vi/-6WlAFscccs/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGGUgSChBMA8=&rs=AOn4CLDmObFK-2Utmj1m3OFS4mzobRKe8w,
Donald Trump,https://i.ytimg.com/vi/FNSbk4th4bY/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGFMgSihyMA8=&rs=AOn4CLASJqC1po32hc8f5tB7vz-T6cpeXA,
Donald Trump,https://i.ytimg.com/vi/IMMZFPzYl1U/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGBMgRCh_MA8=&rs=AOn4CLAusbjvwgQ9YDxEy0FAPlaKqw2oig,
Donald Trump,https://i.ytimg.com/vi/7uKP48mIlmo/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLALgQj_NKGxslgKA6ZX6baRrGaULg,
Donald Trump,https://i.ytimg.com/vi/oLZt5nYaec8/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCLFsNtJU7QAw4W2TrVuzUJkLV56Q,
